	type	location	distracted	time
46161	Parked Car	Mid-Block	no	22.33
46162	Right Turn	At Intersection	no	22.57
46163	Angles	At Intersection	no	23.35
46164	Parked Car	Mid-Block	no	6.0
46165	Rear Ended	Mid-Block	no	7.52
46166	Rear Ended	Mid-Block	no	9.23
46167	Angles	At Intersection	no	10.5
46168	Angles	At Intersection	no	10.92
46169	Cycles	Mid-Block	no	11.57
46170	Cycles	Mid-Block	no	11.82
46171	Left Turn	Driveway Junction	no	12.18
46172	Cycles	At Intersection	no	12.28
46173	Rear Ended	Mid-Block	no	12.43
46174	Left Turn	At Intersection	no	12.47
46175	Cycles	At Intersection	no	13.3
46176	Rear Ended	Mid-Block	no	13.52
46177	Sideswipe	Mid-Block	no	14.15
46178	Right Turn	At Intersection	no	14.35
46179	Left Turn	At Intersection	no	15.08
46180	Parked Car	Mid-Block	no	16.45
46181	Rear Ended	Mid-Block	no	16.75
46182	Left Turn	At Intersection	no	17.23
46183	Left Turn	At Intersection	no	17.42
46184	Rear Ended	Mid-Block	no	17.8
46185	Pedestrian	Mid-Block	no	17.83
46186	Angles	At Intersection	no	17.85
46187	Rear Ended	Mid-Block	no	22.38
46188	Cycles	At Intersection	no	23.03
46189	Parked Car	Mid-Block	no	0.02
46190	Parked Car	Mid-Block	no	1.3
46191	Rear Ended	Mid-Block	no	5.92
46192	Angles	At Intersection	no	6.68
46193	Angles	At Intersection	no	7.33
46194	Rear Ended	Mid-Block	yes	8.75
46195	Angles	At Intersection	yes	8.92
46196	Angles	At Intersection	no	9.37
46197	Sideswipe	Mid-Block	no	11.03
46198	Angles	At Intersection	no	12.78
46199	Rear Ended	Mid-Block	no	12.92
46200	Sideswipe	Mid-Block	no	13.5
46201	Angles	At Intersection	no	13.57
46202	Rear Ended	Mid-Block	no	13.58
46203	Sideswipe	Mid-Block	no	13.7
46204	Right Turn	At Intersection	no	14.43
46205	Parked Car	Mid-Block	no	15.0
46206	Parked Car	Mid-Block	no	15.5
46207	Sideswipe	Mid-Block	no	15.53
46208	Angles	At Intersection	no	15.75
46209	Pedestrian	At Intersection	no	16.0
46210	Sideswipe	Mid-Block	no	16.17
46211	Sideswipe	At Intersection	no	17.22
46212	Left Turn	Driveway Junction	no	17.42
46213	Angles	At Intersection	no	17.67
46214	Left Turn	At Intersection	no	17.75
46215	Rear Ended	Mid-Block	no	19.23
46216	Parked Car	Mid-Block	no	20.48
46217	Parked Car	Mid-Block	no	22.62
46218	Cycles	Mid-Block	no	0.6
46219	Parked Car	Mid-Block	no	0.7
46220	Parked Car	Mid-Block	no	1.0
